title,rating,votes,year,genres,imdbLink
Shorts New Talents Competition: Live-action 2,0,0,0,,
Shorts New Talents Competition: Live-action 3,0,0,0,,
Shorts New Talents Competition: Live-action 4,0,0,0,,
Shorts New Talents Competition: Live-action 5,0,0,0,,
Shorts Winners,7.1,34,2010,Short;Comedy,"<a href=""http://www.imdb.com/title/tt1542036/"">Link</a>"
Should the Wind Drop,6.7,45,2020,Drama,"<a href=""http://www.imdb.com/title/tt11681310/"">Link</a>"
Slalom,7.0,114,2020,Drama,"<a href=""http://www.imdb.com/title/tt9697780/"">Link</a>"
Soviet Friendsbook,7.2,306,2018,Animation;Drama;Fantasy,"<a href=""http://www.imdb.com/title/tt9081300/"">Link</a>"
Stars Await Us,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt10097346/"">Link</a>"
Submission,5.5,1422,2016,Drama;Mystery;Romance,"<a href=""http://www.imdb.com/title/tt5625066/"">Link</a>"
Summer Rebels,5.7,12,2020,Family,"<a href=""http://www.imdb.com/title/tt12181184/"">Link</a>"
Sun Children,6.6,232,2020,Drama,"<a href=""http://www.imdb.com/title/tt11767722/"">Link</a>"
Supernova,6.4,243,2020,Drama;Romance,"<a href=""http://www.imdb.com/title/tt11169050/"">Link</a>"
Sweat,6.8,204,2020,Drama,"<a href=""http://www.imdb.com/title/tt12443946/"">Link</a>"
Tailor,7.5,17,2020,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt13317230/"">Link</a>"
Tangerines,8.2,38691,2013,Drama;War,"<a href=""http://www.imdb.com/title/tt2991224/"">Link</a>"
Teddy,6.1,87,2020,Horror,"<a href=""http://www.imdb.com/title/tt10469804/"">Link</a>"
Tell Her,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt11349638/"">Link</a>"
Tell Me Who I Am,7.6,10184,2019,Documentary;Drama;Mystery,"<a href=""http://www.imdb.com/title/tt10915286/"">Link</a>"
Thanks for Everything,6.5,38,1938,Comedy,"<a href=""http://www.imdb.com/title/tt0030852/"">Link</a>"
The Art in the Artist,7.9,228816,2011,Comedy;Drama;Romance,"<a href=""http://www.imdb.com/title/tt1655442/"">Link</a>"
The Barcelona Vampiress,7.1,92,2020,Drama,"<a href=""http://www.imdb.com/title/tt10873438/"">Link</a>"
The Big Game,5.1,86,1973,Action;Adventure;Drama;Sci-Fi,"<a href=""http://www.imdb.com/title/tt0068274/"">Link</a>"
The Black Mill,6.2,48,2020,Drama,"<a href=""http://www.imdb.com/title/tt11639052/"">Link</a>"
The Body Fights Back,6.6,15,1937,Action;Drama;Romance,"<a href=""http://www.imdb.com/title/tt0029104/"">Link</a>"
The Club of Angels,,,2020,,"<a href=""http://www.imdb.com/title/tt8608144/"">Link</a>"
The Club of Ugly Children,6.8,127,2019,Action;Adventure;Family,"<a href=""http://www.imdb.com/title/tt9695404/"">Link</a>"
The Dawn,5.4,1765,2019,Drama;Horror;Thriller,"<a href=""http://www.imdb.com/title/tt7461372/"">Link</a>"
The Disciple,6.7,261,2020,Drama;Music,"<a href=""http://www.imdb.com/title/tt11423784/"">Link</a>"
The End,8.0,136,2020,Drama,"<a href=""http://www.imdb.com/title/tt9055250/"">Link</a>"
The Enemies,7.4,9,2017,Drama,"<a href=""http://www.imdb.com/title/tt7266820/"">Link</a>"
The Father,7.4,474,2020,Drama,"<a href=""http://www.imdb.com/title/tt10272386/"">Link</a>"
The Flood,5.9,31833,1998,Action;Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0120696/"">Link</a>"
The Foundation Pit,7.2,33,2020,Documentary,"<a href=""http://www.imdb.com/title/tt11753722/"">Link</a>"
The Garden,6.8,69,2020,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt10603286/"">Link</a>"
The Hidden Life of Trees,,,2019,Documentary,"<a href=""http://www.imdb.com/title/tt11846862/"">Link</a>"
The Holy Trinity of Estonian Animation,0,0,0,,
The Jump,6.1,145,2016,News;Sport;Talk-Show,"<a href=""http://www.imdb.com/title/tt5440648/"">Link</a>"
The Kiosk,7.0,67,2013,Animation;Short;Adventure,"<a href=""http://www.imdb.com/title/tt2723216/"">Link</a>"
The Last Ice,5.6,9,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12812506/"">Link</a>"
The Last Ones,7.0,82,2020,Comedy;Crime;Drama,"<a href=""http://www.imdb.com/title/tt6352926/"">Link</a>"
The Macaluso Sisters,5.9,200,2020,Drama,"<a href=""http://www.imdb.com/title/tt12789110/"">Link</a>"
The Man Who Sold His Skin,7.7,47,2020,Drama,"<a href=""http://www.imdb.com/title/tt10360862/"">Link</a>"
The Metamorphosis of Birds,7.5,165,2020,Documentary;Biography;Drama,"<a href=""http://www.imdb.com/title/tt11625100/"">Link</a>"
The Misadventures of the New Satan,,,2012,Short;Comedy;Horror,"<a href=""http://www.imdb.com/title/tt2332837/"">Link</a>"
The Monopoly of Violence,7.4,113,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12313458/"">Link</a>"
The Nose or The Conspiracy of Mavericks,6.6,58,2020,Animation,"<a href=""http://www.imdb.com/title/tt11689090/"">Link</a>"
The Pack,,,2020,Reality-TV,"<a href=""http://www.imdb.com/title/tt12850564/"">Link</a>"
The Penultimate,,,2020,,"<a href=""http://www.imdb.com/title/tt13269230/"">Link</a>"
The People Upstairs,6.0,103,2020,Comedy,"<a href=""http://www.imdb.com/title/tt11028768/"">Link</a>"
The Personal History of David Copperfield,6.4,10560,2019,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt6439020/"">Link</a>"
The Pit,7.3,8373,2017,Action;Crime;Thriller,"<a href=""http://www.imdb.com/title/tt7431994/"">Link</a>"
The Racer,5.6,466,2020,Comedy;Drama;Sport,"<a href=""http://www.imdb.com/title/tt8374436/"">Link</a>"
The Rejected Shorts Picture Show,0,0,0,,
The Road to Eden,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt13195124/"">Link</a>"
The Sign Painter,7.6,208,2020,Drama,"<a href=""http://www.imdb.com/title/tt11493046/"">Link</a>"
